,theme,start_time,end_time,affected_sectors,severity_ratio,answer_ratio,sources,location,df_index
89,Vientos fuertes,2023-10-24,2023-11-01,['Transporte'],{'Transporte': 0.8333333333333334},"{5: 0.8333333333333334, 6: 0.9166666666666666, 7: 0.75, 8: 0.8333333333333334}","['https://www.lavozdegalicia.es/noticia/galicia/2023/10/28/nuevo-frente-deja-galicia-lluvia-fuertes-vientos-durante-sabado/00031698504215983982884.htm', 'https://www.elconfidencial.com/espana/2023-10-29/aemet-borrasca-celine-lluvias-vientos_3763736/', 'https://www.lavanguardia.com/natural/20231030/9339054/nuevo-aviso-aemet-llega-borrasca-ciaran-vientos-fuertes-lluvias-generalizadas-pmv.html', 'https://www.elprogreso.es/articulo/galicia/borrasca-ciaran-llegara-miercoles-fuertes-lluvias-viento-galicia-nevada-manzaneda/202310301211001703973.html', 'https://www.galiciapress.es/articulo/sociedad/2023-10-31/4514252-alerta-roja-jueves-parte-costa-hilo-ciclogenesis-ciaran-estan-punto-golpear-galicia']",Lugo,119
90,Borrasca,2023-11-05,2023-11-10,['Transporte'],{'Transporte': 0.5625},"{5: 0.75, 6: 0.75, 7: 0.25, 8: 0.5}",['https://www.elprogreso.es/articulo/comarcas/lugo-suma-mas-borrasca-domingos/202311051125151705449.html'],Lugo,120
91,Temporal,2023-11-05,2023-11-10,['Transporte'],{'Transporte': 0.5625},"{5: 0.75, 6: 0.75, 7: 0.25, 8: 0.5}",['https://www.elprogreso.es/articulo/comarcas/lugo-suma-mas-borrasca-domingos/202311051125151705449.html'],Lugo,120
92,Desbordamientos,2023-06-02,2023-06-11,"['Transporte', 'Agua y Alimentos']","{'Agua y Alimentos': 0.8333333333333334, 'Transporte': 0.1875}","{14: 0.75, 15: 0.75, 16: 1.0, 8: 0.75}","['https://elpais.com/internacional/2023-06-05/las-inundaciones-en-haiti-dejan-al-menos-42-muertos.html', 'https://www.abc.es/espana/madrid/tormenta-perfecta-inundo-m30-bernabeu-1995-20230612182923-nt.html']",Madrid,121
93,Crecida,2023-06-02,2023-06-11,"['Transporte', 'Energia', 'Agua y Alimentos']","{'Energia': 0.515625, 'Transporte': 0.5625, 'Agua y Alimentos': 0.875}","{0: 0.75, 1: 0.75, 4: 0.75, 6: 0.75, 7: 0.75, 8: 0.75, 14: 0.875, 15: 1.0, 16: 0.75}","['https://www.14ymedio.com/cuba/fallecidos-inundaciones-cuba-informacion-relegada_1_1092906.html', 'https://www.europapress.es/nacional/noticia-portadas-periodicos-jueves-junio-20230608003750.html']",Madrid,121
94,Crecida,2023-09-17,2023-10-04,['Transporte'],{'Transporte': 0.4375},"{6: 0.75, 7: 0.25, 8: 0.75}",['https://www.20minutos.es/noticia/5177205/0/recuperacion-puente-pedrera-tratara-salvar-las-partes-siglo-xviii/'],Madrid,124
95,Dana,2023-09-17,2023-10-04,"['Transporte', 'Aguas Residuales', 'Agua y Alimentos']","{'Transporte': 0.75, 'Agua y Alimentos': 0.7916666666666666, 'Aguas Residuales': 0.7205882352941176}","{5: 0.5, 6: 0.75, 7: 0.75, 8: 1.0, 14: 0.875, 15: 0.875, 16: 0.625, 17: 0.75, 18: 0.5, 19: 0.75}","['https://www.interior.gob.es/opencms/es/detalle/articulo/El-Gobierno-declara-zona-catastrofica-y-aprueba-ayudas-para-los-afectados-por-las-DANA-de-septiembre/', 'https://aemetblog.es/2023/09/24/informe-sobre-el-episodio-meteorologico-de-precipitaciones-intensas-ocasionado-por-una-dana-durante-los-dias-2-3-y-4-de-septiembre-de-2023/', 'https://www.20minutos.es/noticia/5175583/0/consejo-ministros-declara-madrid-como-zona-catastrofica-por-dana-principios-septiembre/']",Madrid,124
96,Inundacion,2023-10-23,2023-10-29,['Transporte'],{'Transporte': 0.4375},"{7: 1.0, 8: 0.75}",['https://www.elespanol.com/madrid/sociedad/aemet-avisa-lluvias-madrid-horas-zonas-va-llover-domingo/805669445_0.html'],Madrid,125
97,Inundacion,2023-12-01,2023-12-03,"['Transporte', 'Aguas Residuales', 'Agua y Alimentos']","{'Aguas Residuales': 0.6617647058823529, 'Transporte': 0.35, 'Agua y Alimentos': 0.75}","{17: 0.75, 18: 0.625, 19: 0.625, 7: 0.75, 8: 0.6875, 5: 0.5, 14: 0.75, 15: 0.75, 16: 0.75}","['https://www.telemadrid.es/programas/madrid-directo/Inundaciones-en-Camarma-de-Esteruelas-por-el-desbordamiento-del-arroyo-2-2620257990--20231201073629.html', 'https://gacetinmadrid.com/2023/12/01/cerrada-la-estacion-de-metro-de-bambu-por-inundacion/', 'https://www.elmundo.es/madrid/2023/12/01/656995bce4d4d8ad3e8b4570.html', 'https://www.elespanol.com/temas/tormentas/5/', 'https://zonaretiro.com/transporte/inundaciones-metro-madrid-bambu-1-diciembre-2023/', 'https://www.miracorredor.tv/inundaciones-en-camarma-de-esteruelas-por-el-desbordamiento-del-arroyo-camarmilla/', 'https://www.telemadrid.es/programas/telenoticias-fin-de-semana/Cobena-no-deja-de-achicar-agua-tres-inundaciones-en-tres-meses-2-2620557924--20231202023004.html', 'https://www.telemadrid.es/programas/buenos-dias-madrid/Se-restablece-el-servicio-en-la-estacion-de-Bambu-de-la-Linea-10-de-Metro-0-2620237952--20231201082502.html']",Madrid,126
98,Luvias Intensas,2023-12-01,2023-12-03,['Transporte'],{'Transporte': 0.5},"{5: 0.5, 6: 0.5, 7: 0.5, 8: 0.5}","['https://cadenaser.com/nacional/2023/12/05/la-aemet-avisa-de-un-cambio-importante-en-mitad-del-puente-de-la-constitucion-y-la-inmaculada-cadena-ser/', 'https://www.elespanol.com/madrid/sociedad/tiempo-madrid-puente-diciembre-aemet/814918807_0.html', 'https://www.elconfidencial.com/espana/2023-12-01/tiempo-espana-clima-lluvias-tormentas-nieve_3785302/']",Madrid,126
99,Desbordamientos,2023-12-01,2023-12-03,"['Transporte', 'Aguas Residuales', 'Agua y Alimentos']","{'Aguas Residuales': 0.75, 'Transporte': 0.5, 'Agua y Alimentos': 0.75}","{17: 0.75, 18: 0.75, 19: 0.75, 5: 0.0, 6: 0.5, 7: 0.75, 8: 0.75, 14: 0.75, 15: 0.75, 16: 0.75}","['https://www.telemadrid.es/programas/madrid-directo/Inundaciones-en-Camarma-de-Esteruelas-por-el-desbordamiento-del-arroyo-2-2620257990--20231201073629.html', 'https://www.miracorredor.tv/inundaciones-en-camarma-de-esteruelas-por-el-desbordamiento-del-arroyo-camarmilla/', 'https://www.elespanol.com/madrid/sociedad/20231201/inundacion-camarma-esteruelas-madrid-colegio-desalojado-viviendas-anegadas/813918981_0.html', 'https://www.telemadrid.es/noticias/madrid/Vecinos-de-Camarma-se-recuperan-tras-la-tromba-de-agua-y-las-inundaciones-0-2620237998--20231201040321.html', 'https://www.miracorredor.tv/las-inundaciones-de-camarma-de-esteruelas-vistas-desde-el-aire/']",Madrid,126
100,Crecida,2023-12-01,2023-12-03,['Aguas Residuales'],{'Aguas Residuales': 0.75},"{17: 0.75, 18: 0.75, 19: 0.75}",['https://www.telemadrid.es/programas/madrid-directo/Inundaciones-en-Camarma-de-Esteruelas-por-el-desbordamiento-del-arroyo-2-2620257990--20231201073629.html'],Madrid,126
101,Luvias Intensas,2023-09-15,2023-09-16,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.125, 'Agua y Alimentos': 0.6666666666666666}","{6: 0.0, 8: 0.5, 14: 0.25, 15: 1.0, 16: 0.75}",['https://www.larazon.es/el-tiempo/dana-pone-riesgo-fuertes-lluvias-tormentas-varias-comunidades_20230920650a8ea798383a00012868bd.html'],Malaga,131
102,Desbordamientos,2023-09-15,2023-09-16,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.375, 'Agua y Alimentos': 0.75}","{7: 0.75, 8: 0.75, 14: 0.75, 15: 0.75, 16: 0.75}",['https://www.canalsur.es/noticias/andalucia/rios-de-agua-por-las-calles-de-sierra-de-yeguas-alcala-la-real-o-constantina/1964172.html'],Malaga,131
103,Inundacion,2023-09-17,2023-09-20,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.875, 'Agua y Alimentos': 0.8333333333333334}","{5: 0.75, 6: 1.0, 7: 1.0, 8: 0.75, 14: 0.75, 15: 0.75, 16: 1.0}","['https://cadenaser.com/murcia/2023/09/26/un-ano-despues-de-la-riada-mortal-en-javali-viejo-los-vecinos-denuncian-que-todo-sigue-igual-radio-murcia/', 'https://www.interior.gob.es/opencms/es/detalle/articulo/El-Gobierno-declara-zona-catastrofica-y-aprueba-ayudas-para-los-afectados-por-las-DANA-de-septiembre/']",Murcia,134
104,Crecida,2023-09-17,2023-09-20,['Transporte'],{'Transporte': 0.5},"{5: 0.25, 6: 0.5, 7: 0.5, 8: 0.75}","['https://www.laverdad.es/murcia/aviso-amarillo-lluvias-tormentas-region-murcia-martes-20230918115603-nt.html', 'https://www.laopiniondemurcia.es/comunidad/2023/09/18/alerta-amarilla-region-fuertes-tormentas-92230793.html']",Murcia,134
105,Dana,2023-09-17,2023-09-20,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.8125, 'Agua y Alimentos': 0.9166666666666667}","{5: 0.625, 6: 0.875, 7: 0.875, 8: 0.875, 14: 0.875, 15: 0.875, 16: 1.0}","['https://www.laopiniondemurcia.es/comunidad/2023/09/25/gobierno-declara-region-murcia-zona-92532090.html', 'https://www.interior.gob.es/opencms/es/detalle/articulo/El-Gobierno-declara-zona-catastrofica-y-aprueba-ayudas-para-los-afectados-por-las-DANA-de-septiembre/', 'https://www.laverdad.es/murcia/escudo-protector-presas-region-murcia-20230925003211-nt.html']",Murcia,134
106,Inundacion,2023-05-22,2023-05-26,"['Transporte', 'Aguas Residuales', 'Agua y Alimentos']","{'Transporte': 0.78125, 'Agua y Alimentos': 0.8333333333333333, 'Aguas Residuales': 0.75}","{5: 0.625, 6: 0.75, 7: 0.75, 8: 1.0, 14: 0.75, 15: 0.875, 16: 0.875, 17: 0.75, 18: 0.75, 19: 0.75}","['https://www.telemadrid.es/programas/buenos-dias-madrid/La-lluvia-provoca-inundaciones-en-Murcia-Navarra-y-Guipuzcoa-2-2562663719--20230523092414.html', 'https://www.diariovasco.com/gipuzkoa/historia/tolosa-inundacion-20230531180255-nt.html', 'https://www.elmundo.es/espana/2023/05/31/6476e741fdddffd7b28b4572.html']",Navarra,137
107,Dana,2023-05-22,2023-05-26,"['Transporte', 'Aguas Residuales', 'Agua y Alimentos']","{'Transporte': 0.9375, 'Agua y Alimentos': 0.9166666666666666, 'Aguas Residuales': 0.75}","{5: 1.0, 6: 1.0, 7: 0.75, 8: 1.0, 14: 0.75, 15: 1.0, 16: 1.0, 17: 0.75, 18: 0.75, 19: 0.75}",['https://www.telemadrid.es/programas/buenos-dias-madrid/La-lluvia-provoca-inundaciones-en-Murcia-Navarra-y-Guipuzcoa-2-2562663719--20230523092414.html'],Navarra,137
108,Inundacion,2023-05-31,2023-06-05,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.625, 'Agua y Alimentos': 0.75}","{5: 0.25, 6: 0.5, 7: 0.75, 8: 1.0, 14: 0.75, 15: 0.75, 16: 0.75}","['https://www.diariovasco.com/gipuzkoa/historia/tolosa-inundacion-20230531180255-nt.html', 'https://www.elmundo.es/espana/2023/05/31/6476e741fdddffd7b28b4572.html']",Navarra,138
109,Inundacion,2023-07-07,2023-07-10,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.3125, 'Agua y Alimentos': 0.75}","{5: 0.0, 7: 0.625, 8: 0.625, 14: 0.75, 15: 0.75, 16: 0.75}","['https://www.diariodenavarra.es/tags/temas/inundaciones-navarra.html/3', 'https://www.noticiasdenavarra.com/sociedad/2023/07/07/6-julio-pamplona-lluvia-acumulada-7019749.html', 'https://www.navarratelevision.es/noticia/zed0738f9-a172-72ac-ca4e7862f878d1aa/202307/activado-el-nivel-2-de-emergencias-por-lluvia-en-caparroso']",Navarra,141
110,Luvias Intensas,2023-07-07,2023-07-10,['Transporte'],{'Transporte': 0.3125},"{7: 0.75, 8: 0.5}","['https://navarra.okdiario.com/articulo/sucesos/caparroso-lluvias-intensas-navarra/20230707200210488193.html', 'https://elpais.com/espana/2023-07-07/una-inmensa-tromba-de-agua-deja-un-reguero-de-danos-materiales-en-la-rioja.html']",Navarra,141
111,Desbordamientos,2023-07-07,2023-07-10,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.3125, 'Agua y Alimentos': 0.75}","{7: 0.625, 8: 0.625, 14: 0.75, 15: 0.75, 16: 0.75}","['https://www.navarratelevision.es/noticia/zed0738f9-a172-72ac-ca4e7862f878d1aa/202307/activado-el-nivel-2-de-emergencias-por-lluvia-en-caparroso', 'https://elpais.com/espana/2023-07-07/una-inmensa-tromba-de-agua-deja-un-reguero-de-danos-materiales-en-la-rioja.html']",Navarra,141
112,Inundacion,2023-09-06,2023-09-12,['Transporte'],{'Transporte': 0.34375},"{5: 0.0, 7: 0.625, 8: 0.75}","['https://www.diariodenavarra.es/noticias/navarra/sanguesa-merindad/2023/09/18/el-barranco-desagua-el-convento-artieda-esto-no-habia-pasado-nunca-582826-1010.html', 'https://www.heraldo.es/noticias/aragon/zaragoza/2023/09/13/che-inicia-el-proyecto-para-mejorar-la-resiliencia-ante-inundaciones-entre-osera-y-fuentes-1677709.html', 'https://www.navarra.es/es/-/nota-prensa/sos-navarra-atendio-un-total-de-450-llamadas-durante-la-dana-el-pasado-fin-de-semana', 'https://www.noticiasdenavarra.com/sociedad/2023/09/17/val-aibar-registra-lluvias-torrenciales-7270361.html', 'https://www.diariodenavarra.es/noticias/navarra/2023/09/10/intensas-tormentas-madrugada-dejan-granizo-ribera-581901-300.html']",Navarra,142
113,Desbordamientos,2023-09-06,2023-09-12,['Transporte'],{'Transporte': 0.3125},"{7: 0.75, 8: 0.625, 5: 0.5}","['https://www.noticiasdenavarra.com/sociedad/2023/09/17/val-aibar-registra-lluvias-torrenciales-7270361.html', 'https://www.diariodenavarra.es/noticias/navarra/2023/09/17/tormentas-acumulan-30-50-litros-dos-horas-zonas-centro-navarra-582736-300.html', 'https://www.navarraconfidencial.com/espana/no-iba-a-llover-nunca-mas/']",Navarra,142
114,Dana,2023-09-06,2023-09-12,"['Transporte', 'Agua y Alimentos']","{'Agua y Alimentos': 0.6666666666666666, 'Transporte': 0.3125}","{14: 0.75, 15: 0.5, 16: 0.75, 5: 0.0, 7: 0.5, 8: 0.75}","['https://www.diariodenavarra.es/noticias/navarra/2023/09/13/embalses-navarra-semana-11-septiembre-582232-300.html', 'https://elpais.com/espana/2023-09-10/una-intensa-granizada-golpea-tres-municipios-de-navarra.html', 'https://www.navarra.es/es/-/nota-prensa/sos-navarra-atendio-un-total-de-450-llamadas-durante-la-dana-el-pasado-fin-de-semana']",Navarra,142
115,Inundacion,2023-09-11,2023-09-15,['Transporte'],{'Transporte': 0.375},"{7: 0.75, 8: 0.75}","['https://www.diariodenavarra.es/noticias/navarra/sanguesa-merindad/2023/09/18/el-barranco-desagua-el-convento-artieda-esto-no-habia-pasado-nunca-582826-1010.html', 'https://www.heraldo.es/noticias/aragon/zaragoza/2023/09/13/che-inicia-el-proyecto-para-mejorar-la-resiliencia-ante-inundaciones-entre-osera-y-fuentes-1677709.html', 'https://www.noticiasdenavarra.com/sociedad/2023/09/17/val-aibar-registra-lluvias-torrenciales-7270361.html']",Navarra,143
116,Desbordamientos,2023-09-11,2023-09-15,['Transporte'],{'Transporte': 0.3125},"{7: 0.75, 8: 0.625, 5: 0.5}","['https://www.noticiasdenavarra.com/sociedad/2023/09/17/val-aibar-registra-lluvias-torrenciales-7270361.html', 'https://www.diariodenavarra.es/noticias/navarra/2023/09/17/tormentas-acumulan-30-50-litros-dos-horas-zonas-centro-navarra-582736-300.html', 'https://www.navarraconfidencial.com/espana/no-iba-a-llover-nunca-mas/']",Navarra,143
117,Inundacion,2023-01-17,2023-01-19,"['Agua y Alimentos', 'Transporte', 'Energia']","{'Energia': 0.5, 'Transporte': 0.4125, 'Agua y Alimentos': 0.5833333333333334}","{0: 0.75, 1: 0.75, 3: 0.0, 4: 0.5, 8: 0.8, 5: 0.625, 6: 0.25, 7: 0.5, 14: 0.25, 15: 0.75, 16: 0.75}","['https://www.laregion.es/articulo/ourense/infografia-inundaciones-riesgo-frecuente-ourense/202301221740401191870.html', 'https://www.lavozdegalicia.es/noticia/coruna/mino/2023/01/21/rio-mino-crecio-inundo-n-120-paso-ourense/0003_202301O21C2991.htm', 'https://www.europapress.es/galicia/noticia-rio-mino-riesgo-alto-inundacion-paso-peroxa-ourense-20230120182102.html', 'https://salamancartvaldia.es/noticia/2023-01-17-galicia-se-acerca-al-millar-de-incidencias-por-el-temporal-accidentes-inundaciones-y-problemas-en-carreteras-313589', 'https://www.lavozdegalicia.es/noticia/galicia/2023/01/20/mino-pasa-estado-emergencia-riesgo-alto-desbordamiento-paso-peroxa/00031674211686648560354.htm', 'https://www.laregion.es/articulo/ourense/desborda-rio-mino-zona-termal-tinteiro-fuertes-lluvias/202301171122171190555.html', 'https://www.galiciapress.es/articulo/sociedad/2023-01-19/4145123-hay-cortes-a8-alertas-lluvias-casi-toda-galicia-riesgo-inundaciones-pero-temporal-remite']",Ourense,146
118,Desbordamientos,2023-01-17,2023-01-19,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.46875, 'Agua y Alimentos': 0.5833333333333334}","{6: 0.25, 7: 0.5, 8: 0.8125, 14: 0.25, 15: 0.75, 16: 0.75, 5: 0.625}","['https://www.laregion.es/articulo/ourense/desborda-rio-mino-zona-termal-tinteiro-fuertes-lluvias/202301171122171190555.html', 'https://www.lavozdegalicia.es/noticia/galicia/2023/01/20/mino-pasa-estado-emergencia-riesgo-alto-desbordamiento-paso-peroxa/00031674211686648560354.htm', 'https://salamancartvaldia.es/noticia/2023-01-17-galicia-se-acerca-al-millar-de-incidencias-por-el-temporal-accidentes-inundaciones-y-problemas-en-carreteras-313589', 'https://www.elprogreso.es/articulo/galicia/rio-mino-riesgo-alto-inundacion-paso-peroxa/202301202118301633208.html', 'https://www.galiciapress.es/articulo/sociedad/2023-01-19/4145123-hay-cortes-a8-alertas-lluvias-casi-toda-galicia-riesgo-inundaciones-pero-temporal-remite', 'https://www.laregion.es/articulo/tiempo/meteo-tiempo-ourense-hoy-viernes-20-enero/202301191525421191150.html', 'https://www.farodevigo.es/ourense/2023/01/21/lata-avisa-narciso-mino-amenaza-81492324.html', 'https://www.europapress.es/galicia/noticia-rio-mino-riesgo-alto-inundacion-paso-peroxa-ourense-20230120182102.html']",Ourense,146
119,Crecida,2023-01-17,2023-01-19,"['Agua y Alimentos', 'Transporte', 'Energia']","{'Energia': 0.5, 'Transporte': 0.296875, 'Agua y Alimentos': 0.5833333333333334}","{0: 0.75, 1: 0.75, 3: 0.0, 4: 0.5, 8: 0.8125, 6: 0.125, 7: 0.375, 14: 0.25, 15: 0.75, 16: 0.75, 5: 0.5}","['https://www.laregion.es/articulo/ourense/infografia-inundaciones-riesgo-frecuente-ourense/202301221740401191870.html', 'https://www.lavozdegalicia.es/noticia/coruna/mino/2023/01/21/rio-mino-crecio-inundo-n-120-paso-ourense/0003_202301O21C2991.htm', 'https://www.europapress.es/galicia/noticia-rio-mino-riesgo-alto-inundacion-paso-peroxa-ourense-20230120182102.html', 'https://www.laregion.es/articulo/ourense/desborda-rio-mino-zona-termal-tinteiro-fuertes-lluvias/202301171122171190555.html', 'https://www.farodevigo.es/ourense/2023/01/21/lata-avisa-narciso-mino-amenaza-81492324.html', 'https://www.galiciapress.es/articulo/sociedad/2024-03-08/4750261-coches-atrapados-carreteras-cortadas-nieve-varios-puntos-galicia-sobre-todo-ourense', 'https://www.laregion.es/articulo/ourense/portada-region-martes-17-enero/202301170729411190530.html', 'https://www.lavozdegalicia.es/noticia/galicia/2023/01/20/mino-pasa-estado-emergencia-riesgo-alto-desbordamiento-paso-peroxa/00031674211686648560354.htm']",Ourense,146
120,Inundacion,2023-06-01,2023-06-07,"['Transporte', 'Aguas Residuales', 'Agua y Alimentos']","{'Transporte': 0.21875, 'Agua y Alimentos': 0.8333333333333334, 'Aguas Residuales': 0.8235294117647058}","{7: 0.25, 8: 0.625, 14: 0.75, 15: 1.0, 16: 0.75, 17: 0.75, 18: 0.75, 19: 0.875}","['https://www.laregion.es/articulo/ourense/tormenta-recupera-colapso-ourense/202306122133091226650.html', 'https://www.laregion.es/articulo/ourense/temporal-vuelve-inundar-ourense/202306121802281226539.html']",Ourense,147
121,Borrasca,2023-11-05,2023-11-11,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.1875, 'Agua y Alimentos': 0.75}","{8: 0.75, 14: 0.75, 15: 0.75, 16: 0.75}",['https://www.lavozdegalicia.es/noticia/ourense/ourense/2023/11/04/mino-desborda-ourense-deja-bajo-aguas-zonas-termales-chavasqueira-tinteuro/00031699109675114319332.htm'],Ourense,148
122,Temporal,2023-11-05,2023-11-11,['Transporte'],{'Transporte': 0.5625},"{6: 0.375, 7: 0.75, 8: 0.75, 5: 0.75}","['https://www.elidealgallego.com/articulo/galicia/inundaciones-desbordamientos-toda-galicia-causa-temporal-4533073', 'https://www.lavozdegalicia.es/noticia/galicia/2023/11/04/borrasca-domingos-sacude-galicia-vientos-120-kilometros-hora-lluvias-intensas/00031699082010531561352.htm']",Ourense,148
123,Inundacion,2023-06-12,2023-06-17,['Transporte'],{'Transporte': 0.4375},"{8: 0.75, 5: 1.0, 6: 0.25, 7: 0.75}","['https://www.diariodecastillayleon.es/castilla-y-leon/230612/37965/112-registra-61-llamadas-leon-palencia-fuertes-lluvias.html', 'https://www.diariodevalderrueda.es/texto-diario/mostrar/4328812/graves-inundaciones-cervera-pisuerga-tormentas']",Palencia,149
124,Inundacion,2023-10-20,2023-10-23,"['Transporte', 'Aguas Residuales', 'Agua y Alimentos']","{'Transporte': 0.5416666666666666, 'Agua y Alimentos': 0.5416666666666666, 'Aguas Residuales': 0.7757352941176471}","{6: 0.625, 7: 0.55, 8: 0.7916666666666666, 5: 0.4375, 14: 0.75, 15: 0.75, 16: 0.5, 17: 0.6875, 18: 0.8125, 19: 0.8125}","['https://www.farodevigo.es/pontevedra/2023/10/27/temporal-provoca-desbordamiento-rios-inundaciones-93851241.html', 'https://www.pontevedraviva.com/xeral/99196/borrasca-celine-deja-multiples-incidencias/?lang=es', 'https://www.lavozdegalicia.es/noticia/galicia/2023/10/28/nuevo-frente-deja-galicia-lluvia-fuertes-vientos-durante-sabado/00031698504215983982884.htm', 'https://www.galiciapress.es/articulo/el-tiempo-galicia/2023-10-25/4489673-declarada-alerta-naranja-interior-pontevedra-desde-costa-da-morte-hasta-ortegal-temporal', 'https://www.elmundo.es/espana/2023/10/28/653d565cfc6c838f768b45b0.html', 'https://www.diariodepontevedra.es/articulo/pontevedra/temporal-vuelve-golpear-dureza-marin/202310290852181276755.html', 'https://www.lavozdegalicia.es/noticia/pontevedra/pontevedra/2023/10/28/supermarea-lluvias-anegan-combarro-cortan-autovia-marin-llevan-lerez-limite-capacidad-pontevedra/00031698503266897896106.htm']",Pontevedra,151
125,Luvias Intensas,2023-10-20,2023-10-23,"['Transporte', 'Aguas Residuales', 'Agua y Alimentos']","{'Transporte': 0.575, 'Aguas Residuales': 0.7279411764705883, 'Agua y Alimentos': 0.611111111111111}","{5: 0.5833333333333334, 6: 0.65, 7: 0.6, 8: 0.7, 17: 0.625, 18: 0.875, 19: 0.75, 15: 0.8333333333333334, 16: 0.5833333333333334, 14: 0.625}","['https://www.lavozdegalicia.es/noticia/galicia/2023/10/28/nuevo-frente-deja-galicia-lluvia-fuertes-vientos-durante-sabado/00031698504215983982884.htm', 'https://www.diariodepontevedra.es/articulo/pontevedra/temporal-vuelve-golpear-dureza-marin/202310290852181276755.html', 'https://www.elcorreogallego.es/galicia/2023/10/28/galicia-borrasca-borrasca-ahora-golpea-93930107.html', 'https://www.larazon.es/el-tiempo/temporal-espana-directo-alertas-ultima-hora-zonas-afectadas-borrasca-aline_20231020653216c4a1cbe00001722a03.html', 'https://www.atlantico.net/articulo/vigo/malas-noticias-amantes-sol-va-seguir-lloviendo-vigo/202310260800001005058.html']",Pontevedra,151
126,Desbordamientos,2023-10-20,2023-10-23,"['Transporte', 'Aguas Residuales', 'Agua y Alimentos']","{'Transporte': 0.484375, 'Agua y Alimentos': 0.5416666666666666, 'Aguas Residuales': 0.7843137254901961}","{6: 0.625, 7: 0.5833333333333334, 8: 0.8125, 5: 0.125, 15: 0.75, 16: 0.5, 17: 0.6666666666666666, 18: 0.8333333333333334, 19: 0.8333333333333334, 14: 0.75}","['https://www.farodevigo.es/pontevedra/2023/10/27/temporal-provoca-desbordamiento-rios-inundaciones-93851241.html', 'https://www.diariodepontevedra.es/articulo/pontevedra/temporal-vuelve-golpear-dureza-marin/202310290852181276755.html', 'https://www.lavozdegalicia.es/noticia/pontevedra/pontevedra/2023/10/28/supermarea-lluvias-anegan-combarro-cortan-autovia-marin-llevan-lerez-limite-capacidad-pontevedra/00031698503266897896106.htm', 'https://www.pontevedraviva.com/xeral/99196/borrasca-celine-deja-multiples-incidencias/?lang=es']",Pontevedra,151
127,Crecida,2023-10-20,2023-10-23,"['Transporte', 'Aguas Residuales', 'Agua y Alimentos']","{'Transporte': 0.484375, 'Agua y Alimentos': 0.5416666666666666, 'Aguas Residuales': 0.7843137254901961}","{5: 0.125, 6: 0.625, 7: 0.5833333333333334, 8: 0.8125, 14: 0.75, 15: 0.75, 16: 0.5, 17: 0.6666666666666666, 18: 0.8333333333333334, 19: 0.8333333333333334}","['https://www.pontevedraviva.com/xeral/99196/borrasca-celine-deja-multiples-incidencias/?lang=es', 'https://www.farodevigo.es/pontevedra/2023/10/27/temporal-provoca-desbordamiento-rios-inundaciones-93851241.html', 'https://www.lavozdegalicia.es/noticia/pontevedra/pontevedra/2023/10/28/supermarea-lluvias-anegan-combarro-cortan-autovia-marin-llevan-lerez-limite-capacidad-pontevedra/00031698503266897896106.htm', 'https://www.diariodepontevedra.es/articulo/pontevedra/temporal-vuelve-golpear-dureza-marin/202310290852181276755.html']",Pontevedra,151
128,Dana,2023-10-20,2023-10-23,"['Transporte', 'Aguas Residuales', 'Agua y Alimentos']","{'Transporte': 0.6041666666666666, 'Aguas Residuales': 0.7205882352941176, 'Agua y Alimentos': 0.8333333333333334}","{5: 0.75, 6: 0.5833333333333334, 7: 0.6666666666666666, 8: 0.6666666666666666, 17: 0.75, 18: 0.5, 19: 0.75, 14: 0.75, 15: 1.0, 16: 0.75}","['https://elpais.com/espana/2023-10-20/otra-borrasca-azota-el-norte-de-espana-tras-el-paso-de-la-historica-aline.html', 'https://www.elmundo.es/espana/2023/10/28/653d565cfc6c838f768b45b0.html', 'https://www.larazon.es/el-tiempo/temporal-espana-directo-alertas-ultima-hora-zonas-afectadas-borrasca-aline_20231020653216c4a1cbe00001722a03.html']",Pontevedra,151
129,Desbordamientos,2023-11-06,2023-11-19,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.5625, 'Agua y Alimentos': 0.8333333333333333}","{5: 0.5, 6: 0.25, 7: 0.75, 8: 0.75, 14: 0.75, 15: 1.0, 16: 0.75}","['https://www.cope.es/emisoras/galicia/noticias/temporal-galicia-inundaciones-fene-neda-arbol-grandes-dimensiones-cae-santiago-20231114_2999287', 'https://www.lavozdegalicia.es/noticia/pontevedra/pontecaldelas/2023/11/04/desbordamiento-verdugo-sume-caos-ponte-caldelas-solo-ganas-llorar/00031699105866692514702.htm', 'https://www.lavozdegalicia.es/noticia/sociedad/2023/11/14/riadas-tsunamis-rios-desbordados-racha-lluvia-galicia-record/00031699983771211124412.htm']",Pontevedra,152
